Nº,Nombre legal,Nombre comercial,Nombre abreviado,Código fiscal,Tipo,Idioma,Estado,Razón de cambio,Fecha de fundación,Registro (número),Registro (ciudad),Objeto social,Observaciones,Categoría,Grupo Empresarial,Empresa padre,Productos,Servicios,Marcas,Certificaciones,Blog,Linkedin,Facebook,Twitter,Skype,Web,Número de impuestos,Saludo,País,Región,Provincia,Código postal,Localidad,Localidad (extensión),Dirección,Ap. Postal (número),Ap. Postal (código postal),Ap. Postal (ciudad),E-Mail 1,E-Mail 2,Teléfono 1,Teléfono 2,Móvil 1,Móvil 2,Fax 1,Fax 2,Código industrial,Código industrial,Rangos de empleados,Empleados 2018,Empleados 2017,Empleados 2016,Empleados 2015,Empleados 2014,Rango de facturación,Facturación 2018,Facturación 2017,Facturación 2016,Facturación 2015,Facturación 2014,Subsidiarias,Socio,Socio (Nr.),Membresía (Tipo),Membresía (Cargo),Cuota (Precio),Moneda de pago,Observaciones,Fecha de inicio,Fecha de fin,Razón de finalización,Factura (número),Factura (fecha),Factura (producto),Factura (valor),Pago (fecha),Pago (estado),Ejecutivo de Cuenta:,Origen del capital,Tamaño de empresa,+,-,+,-,+,-,+,-,+,-,Notas:,Observaciones,Administrador,Contacto principal,Contacto clave,Dirección General,Operaciones,Investigación,Administración,Marketing,RRHH,Finanzas,Ventas,Jurídica,Logística,Producción,Comunicación,Soporte al Cliente,IT
94,"Rentalsa, S.A",BUDGET GUATEMALA,BUDGET GUATEMALA,739,Empresa,ES,1,,04/01/1958,,,,,Servicios,,,,car rental services,Car Rental Services,,,,https://www.facebook.com/BudgetGuatemala/,,,https://www.budget.com.gt,497871-4,,US,,,,Guatemala,Guatemala,"6ta. Avenida, 11-24 Zona 9, Ciudad, Guatemala",,,,contactenos@budget.com.gt,,22032303,,,,,,,,de 26 a 100,41,,,,,"USD$1,201,000 - 5,000,000",0,,,,,,1,,Empresarial,C01,El producto no tiene precio para el país del cliente,GTQ,,26/09/2005,01/01/1800,,,,,,,,"Requena, Annemarie",Multinacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"Consolidados 807, S.A",C807,C807,658,Empresa,ES,1,,01/01/1991,,,,,Servicios,,,,"maritime, air and terrestrial, local and international transportation, distribution and storage, customs service, bonded warehouse.",Customs/ Logistics/Multimodal Transport,,,C807 Operador Logístico,https://www.facebook.com/C807OperadorLogistico/,@c8073,,https://www.C807.COM,596674-4,,GT,,,,Guatemala,Guatemala,"Calzada Atanasio Tzul 24 Avenida 35-81, zona 12, Ciudad, Guatemala",,,,ventas2@c807.com,,24290900,24290976,,,,,,,de 101 a 250,145,,,,,"USD$1,201,000 - 5,000,000",0,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,22/07/2004,01/01/1800,,,,,,,,"Ramirez, Mariana",Nacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Columbus Networks de Guatemala Limitada.,CABLE & WIRELESS GUATEMALA,CABLE & WIRELESS,367,Empresa,ES,1,,01/01/1875,,,,,Servicios,,,,"connectivity, security, business continuity , infrastructure as a service , networking services managed, voip.",Telecommunication Services,,,,https://www.facebook.com/candwbusiness/,,,https://www.cwcbusiness.com,2105941-1,,GB,,,,Guatemala,Guatemala,"Avenida Reforma 9-55 Zona 10, Edificio Reforma 10, Nivel 5 Oficina 510, Ciudad, Guatemala",,,,carmen.delbusto@cwc.com,,23844500,,,,,,,,de 26 a 100,80,,,,,"Más de USD$5,000,001",0,,,,,,1,,Empresarial,,,GTQ,,09/11/2010,01/01/1800,,,,,,,,"Ramirez, Mariana",Multinacional,Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Cabrera Solano & Asociados,CABRERA SOLANO & ASOCIADOS,CABRERA SOLANO & ASOCIADOS,588,Empresa,ES,1,,01/01/2000,,,,,Servicios,,,,,Attorney and Legal Consultants/Law Firm,,,,https://www.facebook.com/cadespacho/?ref=br_rs,,,,785376-9,,GT,,,,Guatemala,Guatemala,"Avenida Reforma 8-60, Zona 9 Edificio Galerías Reforma, Torre I,  Nivel 12 Oficina 1201 Ciudad, Guat",,,,cabreras@cabrerasolano.com,,23325810,,,,,,,,de 1 a 25,13,,,,,"USD$101,000 - 1,200,000",0,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,29/11/2004,01/01/1800,,,,,,,,"Ramírez,Mariana",Nacional,Pequeña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Mudanzas Express S.A,CANIZ INTERNATIONAL CORP.,CANIZ INTERNATIONAL CORP.,67,Empresa,ES,1,,05/09/1931,,,,,Servicios,,,,"moving local and international, storage, logistics, packaging, , handling of works of art and museum pieces, heavy cargo transport ,forkliffts, storage of information and documents, customs, servicion of rebucacion, p.o. box and courier",Movers,,,,https://www.facebook.com/CanizGT/?hc_ref=ARRSig4BdsYrIHmqv0--C7Be5NNavcj7Hi0TPUfIDLCXr3qjU4Nsgx50Zzw9SPPnUEk&fref=nf,@Canizinternational,,https://www.caniz.com,4325109-9,,GT,,,,Guatemala,Mixco,Avenida Reforma 6-64 Edificio Plaza Corporativa Zona 9 Torre 1 Oficina 802,,,,info@caniz.com,,24208080,,,,,,,,de 101 a 250,145,,,,,"Más de USD$5,000,001",0,,,,,,1,,Empresarial,,,GTQ,,01/09/1968,01/01/1800,,,,,,,,"Ramírez,Mariana",Nacional,Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,"Capgemini Business Services Guatemala, S.A","CAPGEMINI BUSINESS SERVICES GUATEMALA, S.A.","CAPGEMINI BUSINESS SERVICES GUATEMALA, S.A.",1040,Empresa,ES,1,,19/06/2008,,,,,Servicios,,,,business process outsourcing/ call center,Contact Center and BPO (Business Process Outsourcing),,,Capgemini Group,https://www.facebook.com/Capgemini/,Capgemini,,https://www.capgemini.com,6093184-1,,FR,,,,Guatemala,Guatemala,15 Avenida 5-00 Zona 13 Edificio WTC Torre Sur,,,,info@capgemini.com,,22230010,,,,,,,,más de 1000,965,,,,,"USD$101,000 - 1,200,000",0,,,,,,1,,Empresarial,C01,El producto no tiene precio para el país del cliente,GTQ,,23/02/2010,01/01/1800,,,,,,,,"Ramirez, Mariana",Multinacional,Pequeña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,"Tecnología Transaccional, S.A.",TECNOLOGÍA TRANSACCIONAL,TECNOLOGÍA TRANSACCIONAL,1066,Empresa,ES,1,,28/10/2016,,,,,Servicios,,TECNOLOGÍA TRANSACCIONAL,,"Planificar, promover, ejecutar todo tipo de negocio",Software/Hardware Manufacturers/Distributors,,,Tecnología Transaccional,https://www.facebook.com/ttransaccional/,@Ttransaccional,,https://www.tecnologiatransaccional.com,6573251-0,,GT,,,,Guatemala,Guatemala,"Boulevard Los Próceres 18 calle 24-69 zona 10, Empresarial Zona Pradera, Torre 3, Nivel 17, Oficina",,,,jarevalo@redabierta.com,,22998000,,,,,,,,de 26 a 100,39,,,,,"USD$101,000 - 1,200,000",,,,,,"Tecnología Transaccional, S.A.; ",1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,17/06/2010,01/01/1800,,,,,,,,"Ramírez,Mariana",Nacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,"Carga Global, S.A","CARGA GLOBAL, S.A.","CARGA GLOBAL, S.A.",1279,Empresa,ES,1,,01/03/1996,,,,,Servicios,,,"import: lcl, full containers, pick ups, air freight export:  lcl, full containers, air cargo, machlnery and special equipment, customs,international cargo insurance, all logistics a advice",,Packaging Services/Freight Fordwarders,,,,https://www.facebook.com/CargaGlobal?fref=ts,,,https://www.cargaglobal.com,169828-1,,GT,,,,Guatemala,Guatemala,"13 Calle 2-60 Zona 10, Edificio Topacio Azul Nivel 14 , Of. 1401, Ciudad, Guatemala",,,,pricing@cargaglobal.com,recepcion@cgcargoservices.com,23186600,,,,,,,,de 26 a 100,33,,,,,"USD$1,201,000 - 5,000,000",0,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,04/06/2013,01/01/1800,,,,,,,,"Requena, Annemarie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,"Cargo, S.A.","CARGO, S.A.","CARGO, S.A.",390,Empresa,ES,1,,16/11/1996,,,,,Comercio,,,,agentes de carga multimodal,Cargo Agency,,,,,,,https://www.cargosa.net,482482-2,,GT,,,,Guatemala,Guatemala,7a. Avenida  1-80 zona 13 Ciudad Guatemala,,,,cargo@cargosa.net,,24279300,,,,,,,,de 1 a 25,18,,,,,"USD$101,000 - 1,200,000",0,,,,,,1,,Empresarial,,,GTQ,,16/06/2000,01/01/1800,,,,,,,,"Requena, Annemarie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,"Cartones de Guatemala, S.A",CARTOGUASA,"CARTONES DE GUATEMALA, S.A.",683,Empresa,ES,1,,02/11/1991,,,,,Industria,,,empaque de cartón corrugado,,Corrugated Cardboard Boxes Industry,,,,https://www.facebook.com/CARTOGUA/,,,https://www.cartogua.com,592482-0,,GT,,,,Guatemala,Guatemala,"2a. Calle 24-00 Zona 15 Vista Hermosa II Edificio Domani Of. 601 Ciudad, Guatemala",,,,lucky.torres@cartogua.com,sandra.patzan@cartogua.com,23089999,,,,,,,,de 501 a 1000,525,,,,,"Más de USD$5,000,001",0,,,,,,1,,Empresarial,C03,0 GTQ | 0 USD | ,GTQ,,07/02/2005,01/01/1800,,,,,,,,"Ramírez,Mariana",Nacional,Grande,"País:Peru |
Ciudad: ","País:United States |
Ciudad: ","País:Costa Rica|
Ciudad: ","País:Italy |
Ciudad: ","País:Costa Rica|
Ciudad: ","País:China |
Ciudad: ","País:Honduras |
Ciudad: ","País:Canada |
Ciudad: ","País:Nicaragua |
Ciudad: ",,,,,,,,,,,,,,,,,,,,
104,"Incart Guatemala, S.A",CARTRIDGES WORLD,CARTRIDGES WORLD,854,Empresa,ES,1,,07/03/1992,,,,,Servicios,,,,"printing supplies, toner printers and multifunction, softare for control of print.",Printing Services & Graphic Design,,,Jose Quan,,,,https://www.cartridgeworldca.com,3966042-7,,GT,,,,Guatemala,Guatemala,"17 Avenida 6-34 zona 11 Colonia Miraflores, Ciudad, Guatemala",,,,jquan@cartridgeworld.com,,23181097,23181098,,,,,,,de 26 a 100,26,,,,,"Más de USD$5,000,001",0,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,26/02/2007,01/01/1800,,,,,,,,"Ramírez,Mariana",Multinacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,"Central Almacenadora, S.A.",CEALSA,"CENTRAL ALMACENADORA, S.A.",1288,Empresa,ES,1,,15/06/1800,,,,,Servicios,,,,"fiscal warehouse, general warehouse of escrow, load management, inventories control, distribution center, distribution services, respresentation and administration of brands, logistic service and outsourcing.",Customs/ Logistics/Multimodal Transport,,,,https://www.facebook.com/cealsa.guatemala/,,,https://www.cealsa.com.gt,96326-7,,GT,,,,Guatemala,Guatemala,"15 Avenida 11-79, zona 6, Guatemala, Guatemala",,,,cealsa@cealsa.com.gt,,24277100,,,,,,,,de 26 a 100,55,,,,,"USD$1,201,000 - 5,000,000",0,,,,,,1,,Empresarial,C03,0 GTQ | 0 USD | ,GTQ,,29/08/2013,01/01/1800,,,,,,,,"Requena, Annemarie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,"Cementos Progreso, S.A.","CEMENTOS PROGRESO, S.A.","CEMENTOS PROGRESO, S.A.",824,Empresa,ES,1,,18/10/1899,,,,,Industria,,,"materiales de construcción, herramientas",,Building and Construction/Materials/Tools,,,Progreso,https://www.facebook.com/CementosProgreso/,,,https://www.cempro.com,32573-2,,GT,,,,Guatemala,Guatemala,"Diagonal 6, 10-01 Zona 10 Centro Gerencial Las Margaritas Torre II Nivel 19, Ciudad, Guatemala.",,,,servicioalcliente@cempro.com,,23389100,,,,,,,,más de 1000,2600,,,,,"USD$1,201,000 - 5,000,000",,,,,,,1,,Empresarial,C03,0 GTQ | 0 USD | ,GTQ,,09/06/2006,01/01/1800,,,,,,,,"Requena, Annemarie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,"Cemex Guatemala, S.A","CEMEX GUATEMALA, S.A.","CEMEX GUATEMALA, S.A.",1481,Empresa,ES,1,,01/09/2001,,,,,Industria,,,"concreto, cemento, agregados cal",,Building and Construction/Materials/Tools,,,,https://www.facebook.com/CEMEXGT/,,,https://www.cemexguatemala.com,2960731-0,,GT,,,,Guatemala,Guatemala,"12 Calle 2-25 Zona 10 Edificio Avia, Nivel 16 Oficina 1601, Ciudad, Guatemala",,,,info.guatemala@cemex.com,,22045600,,,,,,,,de 101 a 250,200,,,,,"Más de USD$5,000,001",0,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,10/10/2016,01/01/1800,,,,,,,,"Ramírez,Mariana",Multinacional,Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,"Central Law Guatemala, S.A",CENTRAL LAW GUATEMALA,CENTRAL LAW GUATEMALA,116,Empresa,ES,1,,01/01/1990,,,,,Servicios,,CENTRAL LAW GUATEMALA,,attorney and legal consultants / law firms collecting services,Attorney and legal consultants/Law Firm,,,Central  Law,https://www.facebook.com/CentralLawGuatemala/,@Central_Law,,https://www.central-law.com,9290513-7,,GT,,,,Guatemala,Guatemala,"15 Avenida 18-28 Zona 13, Global Business Center Of. 101, Ciudad, Guatemala",,,,guatemala@central-law.com,,23836000,,,,,,,,de 26 a 100,50,,,,,"USD$101,000 - 1,200,000",0,,,,,"Central Law Guatemala, S.A; ",1,,Empresarial,,,GTQ,,15/07/1998,01/01/1800,,,,,,,,"Requena, Annemarie",Nacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,"Cervecería Centro Americana, S.A",CERVECERÍA CENTRO AMERICANA S.A.,,74,Empresa,ES,1,,03/02/1886,,,,,Industria,,,bebidas,,Liquors Distributors / Beer,,,,https://www.facebook.com/cerveceria.centroamericana.sa/,,,https://www.cerveceriacentroamericana.com,32830-8,,GT,,,,Guatemala,Guatemala,"3a. Avenida Norte Final Finca El Zapote, Zona 2",,,,info@cerveceria.com,,22891555,,,,,,,,,9000,,,,,"Más de USD$5,000,001",,,,,,,1,,Empresarial,,,GTQ,,21/06/1993,,,,,,,,,"Ramírez,Mariana",Nacional,Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,"CFG Logistica de Carga Internacional, S.A","CFG LOGISTICA DE CARGA INTERNACIONAL, S.A.","CFG LOGISTICA DE CARGA INTERNACIONAL, S.A.",1146,Empresa,ES,1,,15/01/1998,,,,,Servicios,,,,"cargo, courier, po box and national logistics",Insurance Companies/Brokers,,,,"CFG Logistica de Carga Internacional, S.A.",,,https://www.cfg.com.gt,1245485-0,,GT,,,,Guatemala,Guatemala,"Avenida Hincapié 24-20 Zona 13, Ciudad, Guatemala",,,,,,23060707,,,,,,,,de 1 a 25,14,,,,,"USD$101,000 - 1,200,000",0,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,09/11/2011,24/08/2015,,,,,,,,"Ramírez,Mariana",Nacional,Pequeña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,"Chavirg, S.A",TERRAESPERANZA,TERRAESPERANZA,1269,Empresa,ES,1,,28/09/2006,,,,,Servicios,,,real estate activities with own or leased property,,Real State Services,,,,https://www.facebook.com/TerraEsperanzaTripleG/,,,https://www.terraesperanza.com.gt,4911323-2,,GT,,,,Guatemala,Guatemala,"15 Calle 1-11 Zona 10, 2do. Nivel  Oficina 203, Edificio Terra Esperanza, Ciudad, Guatemala",,,,info@terraesperanza.com.gt,admin@terraesperanza.com.gt,23000500,23000515,,,,,,,de 1 a 25,15,,,,,"USD$101,000 - 1,200,000",0,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,08/05/2013,01/01/1800,,,,,,,,"Requena, Annemarie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Chevron Guatemala Inc.,CHEVRON GUATEMALA INC.,CHEVRON GUATEMALA INC.,275,Empresa,ES,1,,05/03/2016,,,,,Comercio,,,petroleum products,,Petroleum Products,,,,https://www.facebook.com/ChevronGuatemala/,,,https://www.chevron.com,32935-5,,US,,,,Guatemala,Guatemala,"Diagonal 6, 10-50 Zona 10, Edificio Interaméricas World Financial Center, Torre Sur, 4to Nivel, Ciud",,,,roxanalou@chevron.com,,24108500,,,,,,,,de 26 a 100,50,,,,,"Más de USD$5,000,001",0,,,,,,1,,Empresarial,C03,El producto no tiene precio para el país del cliente,GTQ,,12/02/2004,01/01/1800,,,,,,,,"Requena, Annemarie",Multinacional,Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,"Chiquita Guatemala, S.A","CHIQUITA GUATEMALA, S.A.","CHIQUITA GUATEMALA, S.A.",1480,Empresa,ES,1,,10/04/1988,,,,,Agro-industria,,,,,Fruit and Port Services,,,,,,,https://www.puertobarrios.net,513951-1,,GT,,,,Guatemala,Guatemala,"Diagonal 6, 10-65 Zona 10, Centro Gerencial Las Margaritas Torre I",,,,,,24207384,,,,,,,,más de 1000,1500,,,,,"Más de USD$5,000,001",0,,,,,,1,,Corporativa,C08,0 GTQ | 0 USD | ,GTQ,,05/10/2016,01/01/1800,,,,,,,,"Ramírez,Mariana",Multinacional,Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Chiquita Logistic Services Guatemala Ltda.,CHIQUITA LOGISTIC SERVICES GUATEMALA LTDA.,CHIQUITA LOGISTIC SERVICES GUATEMALA LTDA.,78,Empresa,ES,1,,21/01/2000,,,,,Servicios,,,,Transporte terrestre y marítimo,Logistics Services/Maritime Transport,,,,,,,,1690185-1,,US,,,,Guatemala,Guatemala,"Diagonal 6, 10-65, Zona 10 Centro Gerencial Las Margaritas, Torre I, Nivel 18, Oficina 1802B, Ciudad",,,,,,24207350,,,,,,,,de 1 a 25,11,,,,,"USD$1,201,000 - 5,000,000",0,,,,,,1,,Empresarial,C01,El producto no tiene precio para el país del cliente,GTQ,,26/11/2004,01/01/1800,,,,,,,,"Ramírez,Mariana",Multinacional,Mediana,,"País:United States |
Ciudad: ","País:El Salvador |
Ciudad: ","País:El Salvador |
Ciudad: ","País:Honduras |
Ciudad: ","País:Honduras |
Ciudad: ","País:Nicaragua |
Ciudad: ","País:Nicaragua |
Ciudad: ","País:Costa Rica|
Ciudad: ","País:Costa Rica|
Ciudad: ",,,,,,,,,,,,,,,,,,,
115,"Consultoría Interdisciplinaria en Desarrollo, S.A",CID GALLUP,CID GALLUP,528,Empresa,ES,1,,01/03/1977,,,,,Servicios,,,,servicios de marketing / investigaciones de marketing.,Market Research,,,,https://www.facebook.com/CIDGallup/,,,https://www.cidgallup.com,804973-4,,CR,,,,Guatemala,Guatemala,"Avenida Reforma 9-55 Zona 10, Edificio Reforma, Nivel 9, Oficina 901",,,,cidgua@cidgallup.com,,23106800,,,,,,,,de 26 a 100,12,,,,,"USD$1,201,000 - 5,000,000",0,,,,,,1,,Empresarial,C01,El producto no tiene precio para el país del cliente,GTQ,,26/06/2002,01/01/1800,,,,,,,,"Ramírez,Mariana",Multinacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,"Citibank, N.A. Sucursal Guatemala",CITI GUATEMALA,"CITIBANK, N.A. SUCURSAL GUATEMALA",77,Empresa,ES,1,,01/09/1974,,,,,Servicios,,,,,Financial & Banking Services,,,,https://www.facebook.com/citi,,,https://www.citibank.com/icg/sa/latam/guatemala/,562445-2,,US,,,,Guatemala,Guatemala,"15 Calle 1-04 Zona 10 Edificio Céntrica Plaza Torre I, Nivel 8 Ciudad, Guatemala",,,,info@citi.com,,23132500,,,,,,,,de 251 a 500,400,,,,,"Más de USD$5,000,001",0,,,,,,1,,Empresarial,C03,El producto no tiene precio para el país del cliente,GTQ,,21/09/1978,01/01/1800,,,,,,,,"Requena, Annemarie",Multinacional,Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,"Consultores Jurídico Aduanales, S.A","CONSULTORES JURÍDICO ADUANALES, S.A.","CONSULTORES JURÍDICO ADUANALES, S.A.",961,Empresa,ES,1,,01/01/1800,,,,,Servicios,,,,"legal services ,customs agency, transportation and storage",Customs/ Logistics/Multimodal Transport,,,,,,,https://www.consultores.com.gt,6052386-7,,GT,,,,Guatemala,Guatemala,"7a. Avenida 3-33 Zona 9, Edificio Torre Empresarial, 4to Nivel, Oficina 401 Ciudad, Guatemala",,,,recepcion@consultores.com.gt,conta@consultores.com.gt,24638100,22096200,,,,,,,de 26 a 100,40,,,,,"USD$101,000 - 1,200,000",0,,,,,,1,,Individual,C07,0 GTQ | 0 USD | ,GTQ,,11/11/2008,01/01/1800,,,,,,,,"Ramírez,Mariana",Nacional,Pequeña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,"Classic Guatemala, S.A","CLASSIC GUATEMALA, S.A.","CLASSIC GUATEMALA, S.A.",1484,Empresa,ES,1,,15/10/2010,,,,,Agro-industria,,,melón,,Agriculture Products,,,,https://www.facebook.com/ClassicFruit/,,,https://www.classicfruit.com,7192049-8,,US,,,,Zacapa,Usumatlán,"La Palmilla, Sec. Entrada Principal, Usumatlan Zacapa, Guatemala",,,,dcastro@classicgta.com,kchacon@classicgta.com,79571200,,,,,,,,de 501 a 1000,670,,,,,"Más de USD$5,000,001",0,,,,,,1,,Empresarial,C03,El producto no tiene precio para el país del cliente,GTQ,,13/10/2016,01/01/1800,,,,,,,,"Negreros,Gabriela",Multinacional,Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,"Cofiño Stahl y Cia, S.A","COFIÑO STAHL Y COMPAÑIA, S.A.",COFIÑO STAHL,4616,Empresa,ES,1,,01/01/1800,,,,,Comercio,,,,automotive vehicles,Automotive Vehicles,,,,https://www.facebook.com/ChevroletGuatemala/,@chevroletgt,,https://www.chevrolet.com.gt,33291-7,,GT,,,,Guatemala,Guatemala,28 Avenida 6-00 zona 11,,,,info@cofino.com,,1705,,,,,,,,más de 1000,1500,,,,,"Más de USD$5,000,001",0,,,,,,1,,Empresarial,C03,0 GTQ | 0 USD | ,GTQ,,23/10/2017,01/01/1800,,,,,,,,"Requena, Annemarie",Multinacional,Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Universidad del Valle de Guatemala,COLEGIO AMERICANO DE GUATEMALA,COLEGIO AMERICANO DE GUATEMALA,678,Inst. Educativa,ES,1,,10/06/1945,,,,,Servicios,,COLEGIO AMERICANO DE GUATEMALA,,Educational Services,Education Services,,,,https://www.facebook.com/americanoguatemala/,,,https//:www.cag.edu.gt,1751758-3,,GT,,,,Guatemala,Guatemala,"11 Calle 15-79 Zona 15, Vista Hermosa III, Ciudad, Guatemala",,,,directors.office@cag.edu.gt,,25009595,,,,,,,,,262,,,,,"Más de USD$5,000,001",,,,,,Universidad del Valle de Guatemala; ,1,,Empresarial,,,GTQ,,19/03/2012,01/01/1800,,,,,,,,"Ramírez,Mariana",Nacional,Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Fomento Educativo,COLEGIO DECROLY AMERICANO,COLEGIO DECROLY AMERICANO,983,Inst. Educativa,ES,1,,10/09/2016,,,,,Servicios,,,bilingual education internationally,,Education Services,,,,https://www.facebook.com/cdadecrolyamericano/,,,https://www.decrolyamericano.edu.gt,591757-3,,GT,,,,Guatemala,Mixco,"11 Calle 6-47, Zona 4, Finca El Naranjo Mixco, Guatemala",,,,gds@decrolyamericano.edu.gt,,23802380,,,,,,,,de 101 a 250,195,,,,,"USD$1,201,000 - 5,000,000",0,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,25/03/2009,01/01/1800,,,,,,,,"Ramírez,Mariana",sin definir,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,"Colegio a Distancia, S.A","COLEGIO TECNOLOGICO AMERICANO, S.A.",AMERITEC,1071,Inst. Educativa,ES,1,,11/09/2016,,,,,Servicios,,,,Education Services,Education Services,,,,https://www.facebook.com/colegio.ameritec/,,,https://www.ameritec.edu.gt,8479212-4,,GT,,,,Guatemala,Guatemala,"39 Calle 10-91, Zona 11, Las Charcas, Ciudad, Guatemala.",,,,admisiones@ameritec.com.gt,,23242800,,,,,,,,de 101 a 250,101,,,,,"USD$1,201,000 - 5,000,000",0,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,25/06/2010,01/01/1800,,,,,,,,"Ramírez,Mariana",Nacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,"Colgate Palmolive (Centro América), S.A","COLGATE PALMOLIVE (CENTRO AMÉRICA), S.A.","COLGATE PALMOLIVE (CENTRO AMÉRICA), S.A.",81,Empresa,ES,1,,18/05/2016,,,,,Industria,,,,"manufacturers of cleaning, household, personal and oral care products.",Health Care Products,,,,https://www.facebook.com/Colgate/,,,https://www.colgate.com,32225-3,,US,,,,Guatemala,Guatemala,"Avenida del Ferrocarril 49-65, Zona 12, Ciudad, Guatemala",,,,ritarivera@colpal.com,,24239200,,,,,,,,,0,,,,,"Más de USD$5,000,001",0,,,,,,1,,Empresarial,C03,El producto no tiene precio para el país del cliente,GTQ,,29/01/1968,01/01/1800,,,,,,,,"Requena, Annemarie",Multinacional,Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,"Colormax Systems, S.A",COLORMAX SYSTEMS,COLORMAX SYSTEMS,1304,Empresa,ES,1,,28/04/2010,,,,,Servicios,,,,"industrial machenery, accesories and  parts for textile factories, paint, paper and plastic.",Foreign Companies Representatives,,,,https://www.facebook.com/Colormax-Systems-1377092562384612/,,,https://www.colormaxsystems.com.gt/,6977944-9,,GT,,,,Guatemala,Guatemala,"18 Calle 24-69 Zona 10, Empresarial Zona Pradera, Torre III Oficina 901, Ciudad, Guatemala.",,,,info@colormaxsystems.com.gt,,22617517,,,,,,,,de 1 a 25,6,,,,,"USD$101,000 - 1,200,000",0,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,05/11/2013,01/01/1800,,,,,,,,"Requena, Annemarie",sin definir,Pequeña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Asociación para el Desarrollo Económico y Social de Aeropuertos y Puertos Combex-Im,COMBEX-IM,COMBEX-IM,1312,Empresa,ES,1,,22/09/1989,,,,,Servicios,,COMBEX-IM,,,Customs/Logistics/Multimodal Transport,,,https://www.linkedin.com/company/Socio056040Socio/,https://www.facebook.com/COMBEX-IM-843242729025138/,https://twitter.com/COMBEXIM,,https://www.combexim.com.gt,5244909-2,,GT,,,,Guatemala,Guatemala,"Aduana Express Aéreo, Aeropuerto Internacional La Aurora, Zona 13, Ciudad, Guatemala",,,,combex@combexim.com.gt,,23874800,,,,,,,,de 101 a 250,200,,,,,"USD$1,201,000 - 5,000,000",0,,,,,Asociación para el Desarrollo Económico y Social de Aeropuertos y Puertos Combex-Im; ,1,,Empresarial,C03,0 GTQ | 0 USD | ,GTQ,,29/01/2014,01/01/1800,,,,,,,,"Requena, Annemarie",Nacional,Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
